name,price,brand,prod_url,img_url
Anon Raider 3 Helmet,"309,95",Anon,/de-DE/product/Anon-Raider+3+Helm-567238/,//images.blue-tomato.com/is/image/bluetomato/304342408_front.jpg-X4zvJeyS6xI13vZdiheqVWPue3U/Burton+Slx+2021+Snowboardboots.jpg?$b1$
Vans Ferra Pro 2021,"649,95",Vans,/de-DE/product/Vans-Ferra+Pro+2021+Snowboardboots-628358/,//images.blue-tomato.com/is/image/bluetomato/303517271_front.jpg-ZulEPYfaNIBYaPEiXm6X9K6xea8/Burton+Felix+Boa+Snowboard+Boots.jpg?$b1$
Lib Tech Travis Rice Orca 153 2021,"229,95",Lib Tech,/de-DE/product/Lib+Tech-Travis+Rice+Orca+153+2021+Snowboard-628802/,//images.blue-tomato.com/is/image/bluetomato/304342025_front.jpg-c8QYIsyUK5fpBIjipnAu_6YUFQI/Burton+Process+157+2021+Snowboard.jpg?$b1$
K2 Raider 2021,"329,95",K2,/de-DE/product/K2-Raider+2021+Snowboardboots-625080/,//images.blue-tomato.com/is/image/bluetomato/304374450_front.jpg-37aiMxiTJFni9IlHCxP1vOooCSc/Giro+Ledge+Helm.jpg?$b1$
Burton Malavita Snowboard Bindings,"369,95",Burton,/de-DE/product/Burton-Malavita+Snowboard+Bindung-522435/?colid=brackish,//images.blue-tomato.com/is/image/bluetomato/304300407_front.jpg-T8mS4eRPPGj0u7k_abuRbcGWU9s/Union+Scott+Stevens+2021+Snowboardbindung.jpg?$b1$
Now Drive Snowboard Bindings,"559,95",Now,/de-DE/product/Now-Drive+Snowboard+Bindung-629375/,//images.blue-tomato.com/is/image/bluetomato/304358747_front.jpg-tA6XO77G7YKsA06YQpXO1Qa_yWo/Ride+Sage+2021+Snowboardboots.jpg?$b1$
Burton Slx 2021,"479,95",Burton,/de-DE/product/Burton-Slx+2021+Snowboardboots-622759/,//images.blue-tomato.com/is/image/bluetomato/304300405_front.jpg-_w-wfTvEK_jDjJCm64B0Q8IIkyM/Union+Strata+2021+Snowboardbindung.jpg?$b1$
Capita Defenders Of Awesome 161W 2021,"459,95",Capita,/de-DE/product/Capita-Defenders+Of+Awesome+161W+2021+Snowboard-618463/,//images.blue-tomato.com/is/image/bluetomato/304375892_front.jpg-9drCG025-FCCY8oEwrwezcVrjxw/Flow+Nexus+Snowboard+Bindung+2021.jpg?$b1$
Burton Process 157 2021,"249,95",Burton,/de-DE/product/Burton-Process+157+2021+Snowboard-622557/,//images.blue-tomato.com/is/image/bluetomato/304363605_front.jpg-JosiRgO8d1WbMiX-EzFC_eQH8Qg/Anon+Greta+3+Helm.jpg?$b1$
Union Trilogy 2021,"219,95",Union,/de-DE/product/Union-Trilogy+2021+Snowboardbindung-618615/?colid=ash,//images.blue-tomato.com/is/image/bluetomato/304300420_front.jpg-vHWP6vyPMsdV9KU9b_jpEH7ryBg/Union+Flite+Pro+2021+Snowboardbindung.jpg?$b1$
Union Scott Stevens 2021,"479,95",Union,/de-DE/product/Union-Scott+Stevens+2021+Snowboardbindung-618610/,//images.blue-tomato.com/is/image/bluetomato/304270280_front.jpg-koHkgEKJRFie2vpJ7dZrzQfdRCQ/Roxy+Feelin+Oxblood+Red+Leopold+Goggle.jpg?$b1$
Capita Defenders Of Awesome 156 2021,"279,95",Capita,/de-DE/product/Capita-Defenders+Of+Awesome+156+2021+Snowboard-618461/,//images.blue-tomato.com/is/image/bluetomato/304371982_front.jpg-l68JKNceYKSsn3HGqQ4jq4qGvks/Vans+Sam+Taxwood+Standard+MTE+Winterschuhe.jpg?$b1$
